uid,click_time,pid,param
12177,2016/10/4 12:22,1,19
29226,2016/10/4 12:18,6,1
37351,2016/10/4 12:18,10,16
82053,2016/10/4 12:18,1,40
82053,2016/10/4 12:18,1,40
27393,2016/10/3 10:58,10,30
49865,2016/10/4 10:23,10,28
78082,2016/10/4 12:18,10,16
82053,2016/10/4 12:18,1,19
82053,2016/10/4 12:19,1,19
82053,2016/10/4 12:19,1,19
87889,2016/10/4 12:19,10,28
49247,2016/10/4 12:19,6,1
49247,2016/10/4 12:19,5,10
6838,2016/10/4 12:18,6,1
84185,2016/10/4 12:19,10,16
59149,2016/10/4 12:19,10,28
76242,2016/10/4 12:19,10,16
27393,2016/10/4 12:20,10,16
17405,2016/10/4 10:45,8,1
17405,2016/10/4 10:45,8,1
4231,2016/10/4 12:18,10,28
9692,2016/10/4 12:20,10,28
32630,2016/10/4 12:20,10,28
4072,2016/10/4 12:19,1,19
32511,2016/9/27 12:07,8,1
9760,2016/10/4 2:18,1,31
70487,2016/10/4 12:21,10,16
13454,2016/10/4 12:21,10,28
13454,2016/10/4 12:21,10,28
1250,2016/10/4 11:18,10,31
8765,2016/10/4 12:22,10,16
68380,2016/10/4 12:22,10,30
86081,2016/10/4 12:22,10,16
31456,2016/10/4 12:22,10,16
29810,2016/10/4 12:22,2,2
29810,2016/10/4 12:22,2,5
23221,2016/10/4 12:22,8,1
71322,2016/10/4 12:22,10,16
4072,2016/10/4 12:23,1,39
3813,2016/10/3 12:25,10,28
8107,2016/10/4 12:23,6,1
57737,2016/10/4 12:23,10,28
54418,2016/10/4 12:23,7,9
44713,2016/10/4 12:23,1,19
44713,2016/10/4 12:24,1,18
72630,2016/10/4 12:24,8,1
36232,2016/10/4 12:24,10,28
36232,2016/10/4 12:24,10,16
25903,2016/10/4 12:24,8,1
60902,2016/10/4 12:23,1,34
60902,2016/10/4 12:23,1,34
59781,2016/10/4 12:25,1,38
59781,2016/10/4 12:24,1,30
10170,2016/10/4 12:25,10,27
59448,2016/10/4 12:25,10,16
67432,2016/10/4 12:25,6,1
67432,2016/10/4 12:25,10,28
42444,2016/10/4 12:26,9,2
55980,2016/10/4 12:25,10,29
24818,2016/10/4 12:26,10,16
74369,2016/10/4 12:26,10,16
71322,2016/10/4 12:26,10,16
71322,2016/10/4 12:26,10,16
61791,2016/10/4 12:26,10,28
2164,2016/10/4 12:24,5,13
14148,2016/10/4 12:27,10,28
76701,2016/10/4 12:27,10,16
88579,2016/10/4 12:27,10,28
90006,2016/10/4 12:27,9,1
59517,2016/10/4 12:28,10,16
11059,2016/10/4 12:28,4,1
40232,2016/10/4 12:28,8,1
31783,2016/10/4 12:29,10,16
51801,2016/10/4 12:28,10,28
55660,2016/10/4 12:29,9,1
36232,2016/10/4 12:29,9,1
48525,2016/10/4 12:29,10,28
21068,2016/10/4 12:29,2,5
31466,2016/10/4 12:29,3,16
25038,2016/10/4 12:29,10,16
36912,2016/10/4 11:25,8,1
62865,2016/10/4 12:30,10,28
62865,2016/10/4 12:30,10,16
77328,2016/10/4 12:30,3,12
59366,2016/10/4 12:29,10,16
17349,2016/10/4 12:31,7,14
76948,2016/10/4 12:29,2,6
21068,2016/10/4 12:31,10,16
43929,2016/10/4 12:31,10,28
8816,2016/10/4 12:30,10,16
20816,2016/10/4 12:31,10,16
77328,2016/10/4 12:31,3,13
62865,2016/10/4 12:31,10,16
31069,2016/10/4 12:32,3,10
33968,2016/10/4 12:31,10,30
31299,2016/10/4 12:32,10,30
80175,2016/10/4 12:32,1,30
83605,2016/10/4 10:33,10,28
83605,2016/10/4 10:34,10,28
41982,2016/10/4 12:32,10,16
34752,2016/10/4 12:32,3,10
37021,2016/10/4 12:32,10,16
37021,2016/10/4 12:32,10,28
64818,2016/10/4 12:32,8,1
64818,2016/10/4 12:32,8,1
29409,2016/10/4 12:32,10,28
15721,2016/10/4 12:33,4,1
7673,2016/10/4 12:33,8,1
30648,2016/10/4 12:33,10,16
83598,2016/9/27 10:13,10,28
35701,2016/10/4 12:34,10,28
