uid	loan_time	loan_amount	plannum
12135	2016/8/3 0:05	3.862594545	1
41403	2016/8/3 0:13	5.584137011	13
74458	2016/8/3 0:13	4.723016822	1
12959	2016/8/3 0:19	3.862594545	1
89641	2016/8/3 0:23	4.292650699	1
3272	2016/8/3 0:24	3.862594545	1
90639	2016/8/3 0:36	4.544373396	1
66044	2016/8/3 0:50	4.622092928	1
89641	2016/8/3 1:55	4.292650699	1
41227	2016/8/3 2:26	5.07059257	3
67319	2016/8/3 3:05	3.862594545	1
76603	2016/8/3 3:12	4.723016822	1
76603	2016/8/3 3:13	4.292650699	1
76603	2016/8/3 3:13	4.40582999	1
86428	2016/8/3 4:04	4.974842946	3
84537	2016/8/3 4:12	3.862594545	1
42635	2016/8/3 4:13	4.292650699	1
32940	2016/8/3 4:45	4.292650699	12
61669	2016/8/3 5:06	4.544373396	3
53574	2016/8/3 5:47	5.153538105	1
16120	2016/8/3 5:59	4.584447562	1
72803	2016/8/3 6:18	4.292650699	1
42528	2016/8/3 6:27	5.722768363	1
80684	2016/8/3 7:06	4.292650699	1
57009	2016/8/3 7:08	5.07059257	1
67212	2016/8/3 7:13	4.909401781	12
69653	2016/8/3 7:25	5.722768363	12
13939	2016/8/3 7:25	6.722718659	12
48003	2016/8/3 7:36	6.153413856	12
21173	2016/8/3 7:36	4.974842946	12
49800	2016/8/3 7:54	5.722768363	12
51928	2016/8/3 8:01	5.292153929	1
73058	2016/8/3 8:02	3.862594545	1
13690	2016/8/3 8:05	5.501180385	3
68827	2016/8/3 8:07	5.584137011	3
62709	2016/8/3 8:08	4.292650699	1
81007	2016/8/3 8:14	4.292650699	1
41215	2016/8/3 8:20	4.292650699	1
20654	2016/8/3 8:21	3.862594545	1
49749	2016/8/3 8:23	5.722768363	12
61766	2016/8/3 8:35	4.501535282	1
41388	2016/8/3 8:35	4.351813812	6
76783	2016/8/3 8:41	4.974842946	1
5877	2016/8/3 8:46	6.121545176	12
41256	2016/8/3 8:51	5.51868147	12
71174	2016/8/3 8:56	5.722768363	12
60525	2016/8/3 8:59	4.974842946	1
38819	2016/8/3 9:01	4.501535282	1
8980	2016/8/3 9:03	5.931812567	1
53655	2016/8/3 9:03	3.862594545	1
67638	2016/8/3 9:04	5.931812567	1
68917	2016/8/3 9:09	4.292650699	1
29911	2016/8/3 9:13	4.292650699	1
13177	2016/8/3 9:19	4.544373396	1
3208	2016/8/3 9:22	5.405415974	12
8854	2016/8/3 9:21	3.862594545	1
21920	2016/8/3 9:22	5.292153929	6
69684	2016/8/3 9:23	4.8616016	3
68645	2016/8/3 9:25	4.909401781	1
83545	2016/8/3 9:24	5.292153929	1
35043	2016/8/3 9:25	5.292153929	12
61071	2016/8/3 9:26	5.292153929	1
61071	2016/8/3 9:26	5.292153929	1
46206	2016/8/3 9:27	5.501180385	3
19777	2016/8/3 9:28	3.862594545	1
3760	2016/8/3 9:32	3.862594545	1
42180	2016/8/3 9:32	4.8616016	3
30819	2016/8/3 9:33	5.97467729	1
517	2016/8/3 9:33	4.292650699	6
3988	2016/8/3 9:33	3.862594545	12
24445	2016/8/3 9:33	3.862594545	1
9140	2016/8/3 9:35	4.974842946	1
20664	2016/8/3 9:35	4.40582999	1
18278	2016/8/3 9:38	5.121675962	12
27096	2016/8/3 9:38	3.862594545	1
49867	2016/8/3 9:38	4.723016822	12
21042	2016/8/3 9:43	4.723016822	1
75786	2016/8/3 9:45	4.723016822	1
77418	2016/8/3 9:45	4.292650699	12
3256	2016/8/3 9:45	4.974842946	12
47710	2016/8/3 9:46	5.781982259	1
84929	2016/8/3 9:48	5.153538105	6
64003	2016/8/3 9:51	4.723016822	1
58227	2016/8/3 9:51	4.974842946	3
50243	2016/8/3 9:55	3.862594545	1
61387	2016/8/3 9:57	5.97467729	1
