uid,age,sex,active_date,limited
26308,30,1,2016/2/16,5.97467729
78209,40,1,2016/2/21,5.292153929
51930,35,1,2016/4/19,6.292054527
10113,25,1,2016/3/12,6.292054527
17067,35,1,2016/2/16,5.97467729
46744,35,1,2015/12/17,5.97467729
31747,30,2,2016/2/13,6.292054527
48366,30,2,2016/1/28,5.97467729
49725,35,1,2016/1/28,5.292153929
31333,35,1,2016/5/17,6.292054527
87746,30,1,2016/5/6,5.97467729
51229,35,1,2016/5/25,5.722768363
18211,35,2,2016/3/10,5.292153929
21994,30,1,2016/1/6,5.722768363
61139,35,1,2016/4/26,6.292054527
2967,25,1,2016/1/18,6.292054527
47349,40,1,2016/1/28,6.292054527
44467,35,2,2016/3/24,5.292153929
20195,25,1,2016/6/21,5.722768363
3113,30,2,2015/12/24,5.97467729
72060,25,1,2016/5/3,6.153413856
9329,40,1,2016/3/25,5.292153929
73019,25,2,2016/6/17,6.292054527
56754,30,1,2016/6/17,6.292054527
57116,40,2,2016/4/6,6.292054527
42194,30,1,2016/5/7,6.292054527
90012,25,1,2016/2/13,5.97467729
55859,30,1,2016/6/28,6.292054527
27555,30,1,2016/5/26,6.292054527
24650,30,1,2016/4/24,6.292054527
45006,45,1,2016/4/15,5.97467729
73677,30,2,2015/12/30,5.97467729
51982,30,1,2016/5/20,5.292153929
57983,25,1,2016/5/22,5.292153929
76294,25,1,2016/3/16,5.722768363
69813,25,1,2016/3/26,5.722768363
88516,30,1,2015/12/30,5.97467729
85791,35,1,2016/5/12,5.292153929
45045,35,2,2016/2/19,5.722768363
56129,30,1,2016/4/21,5.97467729
33117,25,1,2016/5/6,6.292054527
28440,30,1,2016/5/21,6.292054527
58670,30,1,2016/4/24,6.292054527
88719,35,1,2016/3/10,5.722768363
61037,25,1,2016/4/15,6.292054527
68554,30,2,2016/6/3,6.153413856
15262,35,1,2016/3/10,6.153413856
33795,30,2,2016/5/6,6.292054527
76391,30,1,2015/12/17,5.97467729
42049,30,1,2015/12/16,5.722768363
30824,35,1,2016/1/28,6.153413856
21346,30,1,2016/1/4,5.97467729
84626,30,1,2016/1/27,5.97467729
23424,30,1,2016/5/26,6.292054527
83304,30,1,2016/3/13,5.292153929
40257,30,1,2016/2/8,6.292054527
88791,30,1,2016/6/7,6.292054527
16328,35,1,2015/12/19,6.292054527
75941,25,1,2016/1/28,5.97467729
35619,25,1,2015/12/2,5.97467729
14325,35,1,2016/4/22,5.97467729
21887,35,1,2016/5/25,6.292054527
73623,35,1,2016/2/16,5.97467729
28906,30,2,2016/5/9,5.292153929
38199,25,2,2016/6/4,5.292153929
29378,25,2,2016/3/22,5.292153929
47214,30,1,2016/3/23,6.153413856
9199,30,2,2016/5/18,5.292153929
21596,25,1,2016/3/21,5.722768363
50614,30,1,2015/12/30,6.292054527
79958,35,2,2016/4/20,5.97467729
1024,40,1,2016/3/31,5.722768363
2950,30,1,2016/5/5,5.292153929
42103,30,1,2016/5/31,5.292153929
36518,25,1,2016/1/29,5.292153929
57183,35,1,2016/3/12,6.153413856
14923,30,1,2016/6/16,6.292054527
84448,30,1,2016/4/15,6.292054527
71134,30,1,2016/1/28,5.722768363
4507,35,1,2016/6/12,6.292054527
82427,25,1,2016/1/28,5.97467729
65309,30,1,2016/3/11,6.153413856
45886,25,1,2016/4/14,6.153413856
86356,40,1,2016/1/28,5.97467729
14653,30,1,2016/3/11,6.153413856
2821,35,1,2016/2/25,5.722768363
46866,25,1,2016/4/28,5.97467729
13246,30,1,2016/6/15,5.292153929
8079,30,1,2015/12/24,6.292054527
60744,25,1,2016/1/28,6.153413856
63010,40,1,2016/3/17,6.292054527
79120,30,1,2015/12/30,5.292153929
12951,35,2,2016/2/4,5.97467729
73140,30,1,2016/3/23,5.292153929
6857,35,1,2015/12/30,5.722768363
46811,40,1,2016/4/14,6.292054527
797,25,1,2016/2/16,5.722768363
61560,35,1,2016/4/13,6.153413856
27274,35,1,2015/12/19,5.97467729
9552,30,1,2016/1/7,6.292054527
63438,35,1,2016/2/16,6.153413856
30219,35,1,2016/6/6,6.292054527
19959,35,2,2016/4/28,5.292153929
77531,30,1,2016/3/30,5.97467729
80931,35,1,2016/4/21,5.97467729
1208,30,1,2016/6/28,6.292054527
45806,40,1,2016/2/25,6.292054527
19451,35,1,2016/6/30,6.292054527
72312,30,1,2016/5/5,5.97467729
55240,40,1,2016/1/28,6.292054527
59004,35,1,2016/1/3,6.153413856
67508,35,1,2016/3/30,5.97467729
6746,35,1,2016/2/9,5.722768363
66514,30,1,2016/1/9,5.97467729
82131,50,1,2016/4/20,6.292054527
21502,35,1,2016/5/9,5.97467729
26827,35,1,2016/1/29,5.97467729
15131,35,1,2016/4/15,5.292153929
78548,30,1,2016/1/28,6.153413856
82033,35,1,2016/4/20,6.292054527
44222,30,1,2016/4/5,5.722768363
90609,50,1,2016/6/14,5.722768363
62631,30,1,2016/4/20,6.292054527
63679,35,1,2016/2/4,6.153413856
47786,25,1,2016/4/19,5.97467729
55319,30,1,2016/2/16,5.722768363
3995,30,1,2016/1/28,6.292054527
27280,45,1,2016/4/26,5.97467729
15093,35,1,2016/3/15,6.153413856
24466,25,1,2016/5/17,5.292153929
40446,35,1,2016/4/21,6.292054527
7304,35,1,2016/6/27,6.292054527
66292,30,1,2016/3/17,5.292153929
6059,25,1,2016/3/15,5.722768363
15556,30,1,2016/1/28,5.292153929
25660,25,1,2016/5/18,5.292153929
55435,30,2,2016/6/21,6.153413856
45119,30,1,2016/5/13,5.722768363
8735,25,1,2016/4/15,5.292153929
9549,30,1,2016/3/15,5.97467729
77425,30,1,2015/12/27,6.153413856
90864,30,1,2016/1/28,6.292054527
34309,30,1,2016/6/18,5.292153929
29133,30,1,2015/12/30,5.722768363
49416,30,2,2016/2/2,5.722768363
229,35,1,2016/4/28,6.292054527
56006,30,1,2016/4/16,5.97467729
19246,30,1,2016/4/20,6.292054527
47781,25,1,2016/4/28,6.292054527
9711,25,1,2016/5/25,5.292153929
9692,25,1,2016/4/13,6.153413856
41022,30,2,2016/3/31,5.292153929
44133,25,2,2016/4/15,5.722768363
69143,25,1,2016/6/19,5.292153929
60431,40,1,2016/1/28,5.97467729
35329,20,1,2016/5/25,5.292153929
21254,25,1,2016/3/30,5.292153929
46781,45,1,2016/5/20,6.292054527
69435,30,1,2016/1/29,5.97467729
79111,35,1,2015/12/30,5.722768363
45796,30,1,2015/12/31,5.97467729
13441,45,1,2016/1/28,6.153413856
14080,25,1,2016/1/14,5.97467729
146,35,1,2016/2/16,6.153413856
15955,30,2,2016/4/13,5.97467729
15699,30,2,2016/5/1,6.292054527
77931,35,2,2016/5/17,6.292054527
63551,35,1,2015/12/31,5.292153929
60929,30,1,2016/4/20,5.97467729
29590,30,1,2016/6/21,5.97467729
32152,35,1,2015/12/13,5.97467729
35226,25,1,2016/3/24,5.292153929
42025,30,1,2016/3/29,5.292153929
28282,30,1,2016/4/26,5.97467729
56302,35,1,2016/3/26,6.153413856
44015,35,1,2016/3/31,5.292153929
38820,30,1,2016/5/22,6.153413856
66386,45,1,2016/4/3,5.97467729
79977,40,1,2016/1/28,6.153413856
25666,25,1,2016/4/14,6.292054527
30839,25,2,2016/1/31,5.97467729
69769,35,1,2016/3/30,5.292153929
57462,35,1,2016/1/28,5.292153929
36076,30,1,2016/6/2,6.292054527
